month,time_start,time_end,duration_hours,type
2022-09,2022-09-29 23:00:00,2022-09-29 23:59:00,0.9833333333333333,longest
2022-09,2022-09-29 23:00:00,2022-09-29 23:59:00,0.9833333333333333,shortest
2022-10,2022-10-17 00:00:00,2022-10-17 10:00:00,10.0,longest
2022-10,2022-10-15 00:00:00,2022-10-15 00:30:00,0.5,shortest
2022-11,2022-11-03 22:00:00,2022-11-04 01:00:00,3.0,longest
2022-11,2022-11-14 10:00:00,2022-11-14 11:00:00,1.0,shortest
2022-12,2022-12-14 00:00:00,2022-12-14 09:15:00,9.25,longest
2022-12,2022-12-20 13:00:00,2022-12-20 14:00:00,1.0,shortest
2023-01,2023-01-02 00:00:00,2023-01-02 08:00:00,8.0,longest
2023-01,2023-01-25 09:00:00,2023-01-25 12:00:00,3.0,shortest
2023-02,2023-02-09 21:50:00,2023-02-10 12:00:00,14.166666666666666,longest
2023-02,2023-02-16 01:40:00,2023-02-16 03:45:00,2.0833333333333335,shortest
2023-03,2023-03-21 23:30:00,2023-03-22 04:00:00,4.5,longest
2023-03,2023-03-27 21:40:00,2023-03-27 23:50:00,2.1666666666666665,shortest
2023-04,2023-04-22 00:00:00,2023-04-23 10:30:00,34.5,longest
2023-04,2023-04-28 04:00:00,2023-04-28 06:00:00,2.0,shortest
2023-05,2023-05-17 21:00:00,2023-05-18 05:30:00,8.5,longest
2023-05,2023-05-29 11:00:00,2023-05-29 11:30:00,0.5,shortest
2023-06,2023-06-30 00:00:00,2023-06-30 08:00:00,8.0,longest
2023-06,2023-06-02 02:00:00,2023-06-02 04:30:00,2.5,shortest
2023-07,2023-07-30 00:00:00,2023-07-30 08:00:00,8.0,longest
2023-07,2023-07-26 19:00:00,2023-07-26 20:30:00,1.5,shortest
2023-08,2023-08-30 00:00:00,2023-08-30 08:00:00,8.0,longest
2023-08,2023-08-14 14:00:00,2023-08-14 14:30:00,0.5,shortest
2023-09,2023-09-30 00:00:00,2023-09-30 08:00:00,8.0,longest
2023-09,2023-09-13 21:00:00,2023-09-14 02:30:00,5.5,shortest
2023-10,2023-10-24 00:00:00,2023-10-24 09:00:00,9.0,longest
2023-10,2023-10-28 00:00:00,2023-10-28 01:00:00,1.0,shortest
2023-11,2023-11-28 00:00:00,2023-11-28 09:00:00,9.0,longest
2023-11,2023-11-04 17:00:00,2023-11-04 19:00:00,2.0,shortest
2023-12,2023-12-13 19:00:00,2023-12-14 08:00:00,13.0,longest
2023-12,2023-12-11 04:00:00,2023-12-11 05:00:00,1.0,shortest
2024-01,2024-01-01 20:00:00,2024-01-02 08:00:00,12.0,longest
2024-01,2024-01-13 06:50:00,2024-01-13 08:00:00,1.1666666666666667,shortest
2024-02,2024-02-28 00:00:00,2024-02-28 08:00:00,8.0,longest
2024-02,2024-02-28 00:00:00,2024-02-28 08:00:00,8.0,shortest
2024-03,2024-03-31 00:00:00,2024-03-31 08:00:00,8.0,longest
2024-03,2024-03-21 03:00:00,2024-03-21 07:00:00,4.0,shortest
2024-04,2024-04-30 00:00:00,2024-04-30 08:00:00,8.0,longest
2024-04,2024-04-30 00:00:00,2024-04-30 08:00:00,8.0,shortest
2024-05,2024-05-31 00:00:00,2024-05-31 08:00:00,8.0,longest
2024-05,2024-05-31 00:00:00,2024-05-31 08:00:00,8.0,shortest
2024-06,2024-06-28 00:00:00,2024-06-28 18:00:00,18.0,longest
2024-06,2024-06-30 00:00:00,2024-06-30 08:00:00,8.0,shortest
2024-07,2024-07-07 00:00:00,2024-07-08 08:00:00,32.0,longest
2024-07,2024-07-11 20:30:00,2024-07-11 21:30:00,1.0,shortest
2024-08,2024-08-26 03:00:00,2024-08-26 18:00:00,15.0,longest
2024-08,2024-08-31 00:00:00,2024-08-31 08:00:00,8.0,shortest
2024-09,2024-09-29 19:00:00,2024-09-30 08:00:00,13.0,longest
2024-09,2024-09-04 05:40:00,2024-09-04 05:50:00,0.16666666666666666,shortest
2024-10,2024-10-25 19:00:00,2024-10-26 12:00:00,17.0,longest
2024-10,2024-10-07 08:20:00,2024-10-07 08:30:00,0.16666666666666666,shortest
2024-11,2024-11-12 15:00:00,2024-11-13 10:00:00,19.0,longest
2024-11,2024-11-14 21:30:00,2024-11-14 22:00:00,0.5,shortest
2024-12,2024-12-30 07:20:00,2024-12-31 08:20:00,25.0,longest
2024-12,2024-12-31 02:50:00,2024-12-31 03:40:00,0.8333333333333334,shortest
2025-01,2025-01-21 19:00:00,2025-01-22 10:00:00,15.0,longest
2025-01,2025-01-23 04:00:00,2025-01-23 04:30:00,0.5,shortest
2025-02,2025-02-24 19:00:00,2025-02-25 11:00:00,16.0,longest
2025-02,2025-02-16 04:30:00,2025-02-16 04:40:00,0.16666666666666666,shortest
2025-03,2025-03-27 18:00:00,2025-03-28 09:00:00,15.0,longest
2025-03,2025-03-07 00:40:00,2025-03-07 06:40:00,6.0,shortest
2025-04,2025-04-05 05:30:00,2025-04-06 06:20:00,24.833333333333332,longest
2025-04,2025-04-06 05:00:00,2025-04-06 05:15:00,0.25,shortest
